url,channel,start,end,dead_air,transcript_before_deadair,call_duration
https://s3-ap-southeast-1.amazonaws.com/exotelrecordings/futwork1/f34efd3b54ad0a3aba42ffe7c01917b6.mp3,Merged,0.84,5.88,0.84,,5.88
https://s3-ap-southeast-1.amazonaws.com/exotelrecordings/futwork1/f34efd3b54ad0a3aba42ffe7c01917b6.mp3,Merged,0.84,5.88,0.84,,5.88
https://s3-ap-southeast-1.amazonaws.com/exotelrecordings/futwork1/70b94a6c0053dd35ff09880a0bbe17b9.mp3,Merged,0.25,13.08,0.25,,13.08
https://s3-ap-southeast-1.amazonaws.com/exotelrecordings/futwork1/70b94a6c0053dd35ff09880a0bbe17b9.mp3,Merged,0.25,13.08,0.25,,13.08
https://s3-ap-southeast-1.amazonaws.com/exotelrecordings/futwork1/5c75d155d45e53f8992292e3980e17b6.mp3,Merged,0.01,3.51,0.01,,92.32
https://s3-ap-southeast-1.amazonaws.com/exotelrecordings/futwork1/5c75d155d45e53f8992292e3980e17b6.mp3,Merged,5.93,14.88,2.42,,92.32
https://s3-ap-southeast-1.amazonaws.com/exotelrecordings/futwork1/5c75d155d45e53f8992292e3980e17b6.mp3,Merged,15.7,45.34,0.8199999999999985,,92.32
https://s3-ap-southeast-1.amazonaws.com/exotelrecordings/futwork1/5c75d155d45e53f8992292e3980e17b6.mp3,Merged,46.21,92.32,0.8699999999999974,,92.32
https://s3-ap-southeast-1.amazonaws.com/exotelrecordings/futwork1/fc11247d8cb5bee5231e83a58fef17b9.mp3,Merged,0.01,8.5,0.01,,11.62
https://s3-ap-southeast-1.amazonaws.com/exotelrecordings/futwork1/78ad7a10b0e8c999ce1b9bd1aada17b6.mp3,Merged,0.67,27.26,0.67,,27.26
https://s3-ap-southeast-1.amazonaws.com/exotelrecordings/futwork1/649283c8ff23fc682108c59a9ca217b9.mp3,Merged,1.01,4.71,1.01,,19.662
https://s3-ap-southeast-1.amazonaws.com/exotelrecordings/futwork1/649283c8ff23fc682108c59a9ca217b9.mp3,Merged,6.48,6.99,1.7700000000000005,,19.662
https://s3-ap-southeast-1.amazonaws.com/exotelrecordings/futwork1/649283c8ff23fc682108c59a9ca217b9.mp3,Merged,7.99,19.5,1.0,,19.662
https://s3-ap-southeast-1.amazonaws.com/exotelrecordings/futwork1/0b8cab83721467680c39a06e68a417b6.mp3,Merged,0.69,1.23,0.69,,60.28
https://s3-ap-southeast-1.amazonaws.com/exotelrecordings/futwork1/0b8cab83721467680c39a06e68a417b6.mp3,Merged,2.33,4.15,1.1,,60.28
https://s3-ap-southeast-1.amazonaws.com/exotelrecordings/futwork1/0b8cab83721467680c39a06e68a417b6.mp3,Merged,5.39,23.0,1.239999999999999,,60.28
https://s3-ap-southeast-1.amazonaws.com/exotelrecordings/futwork1/0b8cab83721467680c39a06e68a417b6.mp3,Merged,24.05,60.28,1.0500000000000007,,60.28
https://s3-ap-southeast-1.amazonaws.com/exotelrecordings/futwork1/54c93e037ce373227de82e47b8d417b1.mp3,Merged,0.77,20.96,0.77,,20.96
https://s3-ap-southeast-1.amazonaws.com/exotelrecordings/futwork1/72e3d0d5f7eb545dc4340dd1660a17b9.mp3,Merged,1.79,3.62,1.79,,93.88
https://s3-ap-southeast-1.amazonaws.com/exotelrecordings/futwork1/72e3d0d5f7eb545dc4340dd1660a17b9.mp3,Merged,5.19,20.38,1.5700000000000005,,93.88
https://s3-ap-southeast-1.amazonaws.com/exotelrecordings/futwork1/72e3d0d5f7eb545dc4340dd1660a17b9.mp3,Merged,21.37,64.13,0.990000000000002,,93.88
https://s3-ap-southeast-1.amazonaws.com/exotelrecordings/futwork1/72e3d0d5f7eb545dc4340dd1660a17b9.mp3,Merged,64.97,93.68,0.8400000000000034,,93.88
https://s3-ap-southeast-1.amazonaws.com/exotelrecordings/futwork1/ad5d747478ee2ddbe4290505587f17b1.mp3,Merged,0.99,1.55,0.99,,22.96
https://s3-ap-southeast-1.amazonaws.com/exotelrecordings/futwork1/ad5d747478ee2ddbe4290505587f17b1.mp3,Merged,2.66,22.96,1.11,,22.96
https://s3-ap-southeast-1.amazonaws.com/exotelrecordings/futwork1/028db72bda43369a7da30a20f9b817b1.mp3,Merged,0.59,22.2,0.59,,22.24
https://s3-ap-southeast-1.amazonaws.com/exotelrecordings/futwork1/a391de93c057fce57718496bfb0a17bg.mp3,Merged,1.4,3.91,1.4,,5.38
https://s3-ap-southeast-1.amazonaws.com/exotelrecordings/futwork1/49a86865228a44534c48da0f661d17bl.mp3,Merged,1.37,31.08,1.37,,136.88
https://s3-ap-southeast-1.amazonaws.com/exotelrecordings/futwork1/49a86865228a44534c48da0f661d17bl.mp3,Merged,32.1,58.17,1.0200000000000031,,136.88
https://s3-ap-southeast-1.amazonaws.com/exotelrecordings/futwork1/49a86865228a44534c48da0f661d17bl.mp3,Merged,59.48,81.79,1.3099999999999952,,136.88
https://s3-ap-southeast-1.amazonaws.com/exotelrecordings/futwork1/49a86865228a44534c48da0f661d17bl.mp3,Merged,82.72,100.06,0.9299999999999926,,136.88
https://s3-ap-southeast-1.amazonaws.com/exotelrecordings/futwork1/49a86865228a44534c48da0f661d17bl.mp3,Merged,101.1,103.96,1.039999999999992,,136.88
https://s3-ap-southeast-1.amazonaws.com/exotelrecordings/futwork1/49a86865228a44534c48da0f661d17bl.mp3,Merged,104.98,107.19,1.0200000000000102,,136.88
https://s3-ap-southeast-1.amazonaws.com/exotelrecordings/futwork1/49a86865228a44534c48da0f661d17bl.mp3,Merged,108.01,112.57,0.8200000000000074,,136.88
